timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,_tf
1776919200000,0.09601,0.09607,0.09569,0.09588,32103251.0,1776919499999,3077307.50805000,3012,18985859.00000000,1820310.55392000,0,5m
1776919500000,0.09588,0.09593,0.09579,0.09583,1355090.0,1776919799999,129880.25593000,939,870814.00000000,83456.51416000,0,5m
1776919800000,0.09582,0.09586,0.09576,0.09586,797557.0,1776920099999,76407.92650000,639,418221.00000000,40069.09398000,0,5m
1776920100000,0.09585,0.09593,0.09582,0.09593,718944.0,1776920399999,68919.06223000,756,427672.00000000,40997.83714000,0,5m
1776920400000,0.09593,0.0962,0.09591,0.09616,1772111.0,1776920699999,170254.87085000,1948,1134548.00000000,108994.00069000,0,5m
1776920700000,0.09617,0.09617,0.09608,0.09614,1970538.0,1776920999999,189448.43076000,1025,1402569.00000000,134842.16656000,0,5m
1776921000000,0.09614,0.09614,0.09607,0.0961,1287180.0,1776921299999,123694.73932000,793,503879.00000000,48422.45028000,0,5m
1776921300000,0.09609,0.0961,0.09594,0.09608,1453132.0,1776921599999,139527.85275000,1024,846619.00000000,81295.02008000,0,5m
1776921600000,0.09608,0.0961,0.09597,0.09597,751170.0,1776921899999,72147.53940000,622,364070.00000000,34970.05801000,0,5m
1776921900000,0.09597,0.096,0.09591,0.096,764366.0,1776922199999,73352.68590000,626,620766.00000000,59574.00127000,0,5m
1776922200000,0.09599,0.096,0.09577,0.09582,1570816.0,1776922499999,150542.08316000,1141,444757.00000000,42623.39045000,0,5m
1776922500000,0.09581,0.09583,0.09569,0.09572,1666731.0,1776922799999,159607.94617000,1574,658616.00000000,63077.76360000,0,5m
1776922800000,0.09572,0.09584,0.0957,0.09584,514778.0,1776923099999,49301.85648000,655,391516.00000000,37496.50243000,0,5m
1776923100000,0.09583,0.09599,0.0958,0.09598,863898.0,1776923399999,82842.77806000,749,295897.00000000,28376.52341000,0,5m
1776923400000,0.09599,0.09605,0.09595,0.09595,1619541.0,1776923699999,155468.11529000,994,604835.00000000,58067.52780000,0,5m
1776923700000,0.09596,0.09606,0.09595,0.09601,928183.0,1776923999999,89103.84417000,855,720591.00000000,69176.34957000,0,5m
1776924000000,0.09602,0.09612,0.09599,0.09612,2656868.0,1776924299999,255180.78904000,1461,1962067.00000000,188446.18445000,0,5m
1776924300000,0.09613,0.0962,0.09612,0.09614,739964.0,1776924599999,71157.38948000,1105,448442.00000000,43125.89935000,0,5m
1776924600000,0.09615,0.09623,0.09615,0.09617,843557.0,1776924899999,81141.82095000,853,581050.00000000,55891.98774000,0,5m
1776924900000,0.09617,0.09628,0.09615,0.09615,3652067.0,1776925199999,351354.85475000,1313,1788149.00000000,172045.15437000,0,5m
1776925200000,0.09616,0.09639,0.09615,0.09632,2426378.0,1776925499999,233623.86671000,1715,1683851.00000000,162113.89924000,0,5m
